Village Panchayat & Equivalent,Receipts,Payments
,,
AmipurBadayala,"20,68,345.00","17,66,889.00"
,,
Amrala,"41,20,889.31","30,26,950.00"
,,
Atrauli,"38,74,622.58","32,25,055.58"
,,
AurangabadDateri,"15,87,293.81","12,94,654.00"
,,
AurangabadFazalgarh,"34,38,990.00","20,98,507.00"
,,
AurangabadGadana,"76,14,941.00","52,02,275.00"
,,
Bakharva,"62,45,631.00","47,25,388.00"
,,
BegmabadBudana,"2,26,58,336.00","1,72,20,729.00"
,,
Bhadaula,"37,01,373.00","32,24,967.00"
,,
Bhatjan,"32,26,065.00","25,23,712.00"
,,
Bhojpur,"79,97,845.60","58,29,731.00"
,,
Bisokhar,"1,42,79,854.00","1,01,33,965.00"
,,
Churiyala,"48,52,145.00","38,70,311.00"
,,
HirdaipurMadaula,"29,34,124.00","23,24,337.00"
,,
IshaqNagar,"27,81,501.00","22,23,378.00"
,,
Jahangirpur,"29,54,588.00","24,71,421.00"
,,
Joya,"20,39,672.00","17,56,685.00"
,,
Kalchhina,"1,67,00,698.00","1,42,48,184.00"
,,
Kanakpur,"15,56,297.97","11,75,834.00"
,,
Khanjarpur,"54,49,728.25","32,78,307.00"
,,
KilhaudaRaghunathpur,"33,00,101.00","28,16,010.00"
,,
LalifpurTibra,"31,69,185.00","21,69,531.00"
,,
Machhri,"18,54,028.00","15,80,387.00"
,,
MakarmatpurSikhera,"17,52,180.00","9,56,119.00"
,,
Mohd.Pur.SujanpurAkhara,"28,56,368.11","12,28,257.00"
,,
Moradabad,"28,97,171.00","11,75,992.00"
,,
Mukimpur,"62,84,657.00","52,78,141.00"
,,
NagalaMusa,"28,53,630.00","24,68,141.00"
,,
NagaulaAmirpur,"24,29,268.00","18,63,656.00"
,,
Nahali,"48,73,312.00","36,76,186.00"
,,
Patti,"26,05,307.00","21,70,250.00"
,,
Phaphrana,"23,28,917.00","15,07,458.00"
,,
Quadrabad,"59,12,391.00","36,46,404.00"
,,
Rori,"1,28,45,848.00","98,02,593.00"
,,
SaidpurHusainpurDeelna,"88,72,753.00","48,37,680.00"
,,
Sara,"83,44,946.00","45,70,060.00"
,,
Shahjahanpur,"29,41,217.00","25,03,433.00"
,,
Shakurpur,"25,25,599.00","18,93,840.00"
,,
Shamli,"23,29,111.97","19,53,500.00"
,,
Sherpur,"49,65,144.00","20,08,153.00"
,,
SikriKhurd,"62,04,922.00","60,37,504.00"
,,
Talehaita,"68,16,022.00","54,29,659.00"
,,
Tauri13Biswa,"72,43,138.56","55,80,920.00"
,,
Tauri7Biswa,"45,07,099.00","23,70,612.00"
,,
YakutpurMavi,"19,36,528.00","16,03,465.00"
,,
YusufpurIsapur,"20,42,948.19","15,29,658.00"
,,
YusufpurNaglabair,"19,20,061.00","13,34,603.00"
,,
Total,"23,66,94,793.35","17,36,13,491.58"
