Village Panchayat & Equivalent,Receipts,Payments
,,
Afzalpur,"32,33,606.00","24,22,648.00"
,,
Agraula,"43,19,464.37","32,47,189.40"
,,
AllipurNoraspur,"17,58,127.10","12,43,541.20"
,,
AsalatpurFarakhNagar,"1,30,61,258.82","1,01,99,038.00"
,,
AurangabadRistal,"40,43,235.12","31,09,617.00"
,,
Badarpur,"30,66,946.69","21,09,089.00"
,,
Banthla,"60,63,187.10","47,63,579.00"
,,
BhaneraKhurd,"33,17,174.51","27,54,951.98"
,,
Chirori,"62,80,183.00","56,75,970.00"
,,
Ganauli,"48,56,423.00","29,36,280.00"
,,
HaqiqatpurUrfKhudawas,"1,38,21,192.00","83,21,655.00"
,,
Ilaichipur,"1,43,73,979.80","1,04,07,578.00"
,,
Javli,"70,43,713.16","50,55,718.00"
,,
KhanpurJapti,"25,42,260.70","19,45,875.00"
,,
Kotwalpur,"13,60,977.00","8,33,549.00"
,,
Madaula,"88,97,928.00","74,75,151.00"
,,
Mahmoodpur,"23,19,044.46","18,18,790.00"
,,
MewalaBhatti,"31,42,518.13","23,91,293.00"
,,
MirpurHindu,"37,40,212.85","28,62,388.00"
,,
MurtazabadBhoopkheri,"23,62,831.33","17,00,728.31"
,,
Nanu,"14,36,184.24","10,77,526.00"
,,
Nistauli,"50,74,779.00","38,88,858.00"
,,
Nithaura,"31,41,414.09","24,28,769.00"
,,
NurstabadKharkhari,"30,15,757.95","23,80,429.00"
,,
Panchayara,"25,17,598.79","17,60,017.00"
,,
SadabadDugravali,"18,52,140.05","13,13,976.70"
,,
ShakalPura,"23,30,903.24","18,17,952.00"
,,
SharifabadRajapur,"32,64,500.50","23,14,223.00"
,,
Sikhrani,"18,43,915.30","12,96,673.00"
,,
Sirauli,"60,26,627.94","52,31,604.00"
,,
SiroraSalempur,"26,41,073.09","19,02,291.33"
,,
TilaShahbazpur,"90,26,836.98","62,29,678.00"
,,
Total,"15,17,75,994.31","11,29,16,625.92"
