Village Panchayat & Equivalent,Receipts,Payments
,,
Abupur,"53,05,137.24","42,65,853.12"
,,
AsadpurNagal,"16,16,212.41","8,87,784.00"
,,
AsalatNagar,"74,56,079.62","44,14,203.00"
,,
AsifpurUjaira,"23,67,241.90","21,67,343.00"
,,
Bandipur,"11,10,982.59","8,10,581.70"
,,
BarakaArifpur,"21,06,809.69","16,43,227.00"
,,
BasantpurSaitli,"71,16,773.72","64,87,817.80"
,,
Bhadauli,"15,75,166.06","5,98,935.00"
,,
Bhanaira,"24,37,556.10","9,15,790.61"
,,
Dabana,"27,90,793.01","22,09,668.00"
,,
Didauli,"39,21,412.04","21,47,987.99"
,,
Firozpur,"31,69,269.04","29,01,759.00"
,,
Gyaspur,"30,62,837.79","20,99,516.00"
,,
Husainpur,"16,32,273.50","15,49,666.20"
,,
JalalpurDindhal,"35,57,860.24","21,78,618.00"
,,
JalalpurRaghunathpur,"21,36,063.32","13,64,250.00"
,,
Jhalawa,"20,74,849.50","16,36,647.00"
,,
Kakra,"23,24,272.65","15,92,774.00"
,,
KharjivanpurKhimawati,"36,47,459.85","29,69,622.00"
,,
Khindaura,"68,95,802.82","46,81,393.00"
,,
KhorajpurBihang,"82,14,807.98","15,86,672.00"
,,
Khurrampur,"28,64,531.42","13,13,987.00"
,,
Kumhaida,"32,52,189.82","17,11,484.00"
,,
Kunhaida,"18,71,240.26","9,87,264.00"
,,
Manauli,"16,34,727.69","15,77,009.50"
,,
Mataur,"19,95,796.84","13,84,950.00"
,,
MilakChakarpur,"15,41,614.54","9,09,190.00"
,,
MilakRavali,"11,28,864.68","6,87,555.00"
,,
MohammadpurDwedha,"25,90,330.85","15,20,535.00"
,,
MohammadpurKadim,"20,46,556.95","15,61,528.29"
,,
MuhiuddinpurHisauli,"18,47,052.15","14,34,472.00"
,,
MuradgamPurPursi,"38,98,610.00","25,84,193.00"
,,
NaglaAkkhu,"10,35,274.70","4,79,348.00"
,,
NekpurSabitnagar,"62,49,502.96","50,98,455.00"
,,
Painga,"22,05,930.60","15,39,781.00"
,,
Puthri,"12,29,627.98","7,15,664.00"
,,
RaoliKalan,"63,49,308.62","37,66,818.00"
,,
RewadiRewda,"23,64,138.60","21,15,035.00"
,,
RoshanpurSalimabadPattiPratap,"25,83,726.59","18,75,491.00"
,,
Sahbiswa,"40,76,100.30","24,13,358.00"
,,
SarnaMuradNagar,"35,07,896.87","26,34,619.00"
,,
Saunda,"67,85,649.01","52,65,985.00"
,,
Shahzadpur,"22,59,276.63","16,66,917.00"
,,
SikhaidaHajari,"21,69,556.18","16,58,094.00"
,,
Suhana,"74,06,003.70","69,03,160.70"
,,
Sultanpur,"29,24,379.17","19,43,648.00"
,,
Surana,"77,51,494.68","58,45,356.00"
,,
Suthari,"18,13,333.07","13,89,844.00"
,,
Total,"15,99,02,375.93","11,00,93,849.91"
