Village Panchayat & Equivalent,Receipts,Payments
,,
Abupur,"58,70,440.12","50,43,051.00"
,,
AsadpurNagal,"12,93,834.41","11,07,690.00"
,,
AsifpurUjaira,"28,23,320.90","22,30,087.00"
,,
Bandipur,"12,96,508.89","11,97,775.00"
,,
BarakaArifpur,"18,54,366.69","17,07,088.00"
,,
BasantpurSaitli,"66,32,637.92","56,76,098.00"
,,
Bhadauli,"26,55,855.46","22,07,955.76"
,,
Bhanaira,"30,48,908.49","17,81,501.00"
,,
Dabana,"16,01,557.01","15,83,510.00"
,,
Didauli,"19,55,410.74","18,37,562.50"
,,
Firozpur,"45,12,729.04","43,80,574.00"
,,
Gyaspur,"28,75,738.39","21,57,761.00"
,,
Husainpur,"15,74,488.30","14,26,051.00"
,,
JalalpurDindhal,"38,42,237.24","34,05,742.00"
,,
Jhalawa,"16,42,743.00","12,75,026.00"
,,
Kakra,"17,46,655.85","15,55,783.00"
,,
KharjivanpurKhimawati,"25,92,011.60","23,12,851.00"
,,
Khindaura,"48,73,516.00","42,61,901.00"
,,
KhorajpurBihang,"79,81,759.98","16,10,640.00"
,,
Khurrampur,"29,16,571.42","21,90,287.00"
,,
Kumhaida,"84,42,784.82","50,10,808.00"
,,
Kunhaida,"23,96,517.26","13,91,298.00"
,,
Manauli,"15,98,489.38","14,88,940.69"
,,
Mataur,"18,75,675.84","18,01,933.00"
,,
MilakChakarpur,"15,56,011.84","13,67,907.00"
,,
MilakRavali,"13,03,947.39","10,32,755.00"
,,
MohammadpurDwedha,"35,72,268.85","28,76,658.00"
,,
MohammadpurKadim,"29,71,628.66","25,16,315.00"
,,
MuhiuddinpurHisauli,"21,08,030.75","20,03,356.00"
,,
MuradgamPurPursi,"54,12,913.00","42,99,940.00"
,,
NaglaAkkhu,"13,24,083.70","12,53,528.00"
,,
NekpurSabitnagar,"63,54,923.96","53,35,828.32"
,,
Painga,"21,24,495.60","15,86,748.00"
,,
Puthri,"10,10,258.96","7,93,556.00"
,,
RaoliKalan,"50,91,850.62","49,04,109.00"
,,
RewadiRewda,"26,71,341.20","25,98,204.60"
,,
RoshanpurSalimabadPattiPratap,"19,71,776.59","18,69,276.00"
,,
Saunda,"65,22,427.46","60,40,826.00"
,,
Shahzadpur,"20,65,495.63","18,59,197.00"
,,
SikhaidaHajari,"19,90,959.18","18,66,026.00"
,,
Suhana,"36,12,748.00","35,52,552.00"
,,
Sultanpur,"39,54,428.79","26,06,738.44"
,,
Surana,"68,92,720.68","65,85,134.00"
,,
Suthari,"23,42,581.07","17,28,793.00"
,,
Total,"14,27,59,650.68","11,53,19,361.31"
