Village Panchayat & Equivalent,Receipts,Payments
,,
AbidpurManiki,"37,90,014.00","32,89,254.00"
,,
Ataur,"28,57,275.98","24,33,861.00"
,,
Bahadurpur,"13,01,068.00","10,36,427.92"
,,
Bhikkanpur,"47,63,845.96","39,15,700.00"
,,
Bhowapur,"23,42,477.62","14,75,913.00"
,,
Chitora,"10,79,555.69","6,21,688.00"
,,
DasnaDehat,"3,51,15,558.59","2,56,38,913.56"
,,
DausaBanjarpur,"32,64,769.20","26,31,779.00"
,,
DinanathpurPuthi,"19,97,298.80","13,46,149.40"
,,
Inayatpur,"17,25,600.24","10,96,880.00"
,,
Jalalabad,"65,09,983.60","54,16,814.00"
,,
Kajampur,"18,04,237.17","12,58,355.00"
,,
Kanauja,"41,97,771.43","31,04,335.00"
,,
Kushaliya,"61,56,652.76","54,14,733.00"
,,
Makraida,"22,02,850.60","16,24,555.00"
,,
Masauta,"14,32,350.94","6,64,877.00"
,,
Masuri,"1,72,42,362.63","1,38,63,512.00"
,,
Mathurapur,"16,38,211.65","12,71,587.62"
,,
Matiyala,"11,63,670.00","7,52,227.50"
,,
Morti,"12,01,453.00","8,67,045.08"
,,
MuhiddinpurDabarsi,"50,91,561.42","41,95,869.00"
,,
NaglaFirojMohanpur,"24,73,803.00","18,65,313.00"
,,
Nahal,"1,54,38,151.00","1,29,52,105.00"
,,
Nidori,"44,39,335.00","35,66,627.00"
,,
Nigrawati,"21,45,585.40","16,98,329.00"
,,
Noorpur,"31,43,307.00","23,04,245.00"
,,
RaghunathPur,"14,28,297.82","12,31,465.00"
,,
RasulpurSikrod,"55,29,571.12","24,93,771.80"
,,
SadatNagarIkla,"24,33,273.23","20,11,727.00"
,,
Samaypur,"19,58,688.25","14,02,928.00"
,,
ShahpurNijMorta,"30,57,877.35","26,88,826.00"
,,
Shamsher,"13,58,733.55","10,96,764.00"
,,
SikriKalan,"61,47,358.00","50,53,328.00"
,,
YusufpurManota,"13,24,008.00","3,50,562.00"
,,
Total,"15,77,56,558.00","12,06,36,466.88"
