state,district,village,scheme,allocated_fund,used_fund,year,work_type
Uttar Pradesh,Ghaziabad,Dasna,PMAY-G,3292608,902007,2024-2025,Sanitation
Uttar Pradesh,Jaipur,Muradnagar Village,NRLM,2416160,1541038,2023-2024,Road Construction
Uttar Pradesh,Indore,Muradnagar Village,Jal Jeevan Mission,4056691,634903,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Dhaulana,Jal Jeevan Mission,1116046,268947,2023-2024,Road Construction
Uttar Pradesh,Indore,Dasna,NRLM,1780962,1696263,2022-2023,Road Construction
Uttar Pradesh,Indore,Sikandrabad,NRLM,4854528,4271328,2023-2024,Housing
Uttar Pradesh,Jaipur,Dhaulana,Jal Jeevan Mission,1577524,1472746,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Muradnagar Village,NRLM,669371,342103,2024-2025,Water Supply
Uttar Pradesh,Pune,Muradnagar Village,Jal Jeevan Mission,1641009,962273,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Noorpur,MGNREGA,4644386,1531024,2022-2023,Road Construction
Uttar Pradesh,Ghaziabad,Kavi Nagar,PMAY-G,4485875,1492829,2024-2025,Water Supply
Uttar Pradesh,Indore,Noorpur,Swachh Bharat,2652493,1592093,2022-2023,Sanitation
Uttar Pradesh,Jaipur,Dasna,Jal Jeevan Mission,3290242,2543051,2024-2025,Sanitation
Uttar Pradesh,Jaipur,Dhaulana,PMAY-G,4832247,2239312,2024-2025,Housing
Uttar Pradesh,Patna,Kavi Nagar,PMAY-G,3812934,211562,2022-2023,Sanitation
Uttar Pradesh,Pune,Sikandrabad,MGNREGA,1979701,1775350,2024-2025,Livelihood
Uttar Pradesh,Patna,Muradnagar Village,PMAY-G,4010922,2568438,2023-2024,Livelihood
Uttar Pradesh,Indore,Kavi Nagar,MGNREGA,1699268,1392198,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Kavi Nagar,Jal Jeevan Mission,3444417,267979,2023-2024,Water Supply
Uttar Pradesh,Jaipur,Loni Dehat,NRLM,840209,604719,2024-2025,Water Supply
Uttar Pradesh,Patna,Kavi Nagar,MGNREGA,724723,538931,2022-2023,Housing
Uttar Pradesh,Pune,Modinagar Rural,PMAY-G,1992837,770098,2022-2023,Housing
Uttar Pradesh,Pune,Modinagar Rural,Jal Jeevan Mission,4637371,377830,2022-2023,Sanitation
Uttar Pradesh,Pune,Sikandrabad,NRLM,4557113,3513179,2023-2024,Housing
Uttar Pradesh,Ghaziabad,Dhaulana,Jal Jeevan Mission,910459,243318,2024-2025,Water Supply
Uttar Pradesh,Ghaziabad,Sikandrabad,PMAY-G,4385433,926279,2024-2025,Housing
Uttar Pradesh,Ghaziabad,Muradnagar Village,Jal Jeevan Mission,2548338,817638,2022-2023,Housing
Uttar Pradesh,Indore,Modinagar Rural,MGNREGA,4011586,2659578,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Dhaulana,NRLM,4787930,1039852,2024-2025,Sanitation
Uttar Pradesh,Jaipur,Noorpur,NRLM,1328432,457328,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Dasna,PMAY-G,2166955,1919740,2023-2024,Water Supply
